Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,yes,travel_rarely,1102,sales,1,college,life sciences,medium,female,94,3,2,sales executive,4,single,5993.0,19479,8,yes,11,3,1,0,8,2,1,6,4,0,5
49,no,travel_frequently,279,research & development,8,below college,life sciences,high,male,61,2,2,research scientist,2,married,5130.0,24907,1,no,23,4,4,1,10,3,3,10,7,1,7
37,yes,travel_rarely,1373,research & development,2,college,other,very high,male,92,2,1,laboratory technician,3,single,2090.0,2396,6,yes,15,3,2,0,7,3,3,0,0,0,0
33,no,travel_frequently,1392,research & development,3,master,life sciences,very high,female,56,3,1,research scientist,3,married,2909.0,23159,1,yes,11,3,3,0,8,3,3,8,7,3,0
27,no,travel_rarely,591,research & development,2,below college,medical,low,male,40,3,1,laboratory technician,2,married,3468.0,16632,7,no,12,3,4,1,6,3,3,2,2,2,2
32,no,travel_frequently,1005,research & development,2,college,life sciences,very high,male,79,3,1,laboratory technician,4,single,3068.0,11864,0,no,13,3,3,0,8,2,2,7,7,3,6
59,no,travel_rarely,1324,research & development,3,bachelor,medical,high,female,81,4,1,laboratory technician,1,married,2670.0,9964,4,yes,20,4,1,2,12,3,2,1,0,0,0
30,no,travel_rarely,1358,research & development,24,below college,life sciences,very high,male,67,3,1,laboratory technician,3,divorced,2693.0,13335,1,no,22,4,2,1,1,2,3,1,0,0,0
38,no,travel_frequently,216,research & development,23,bachelor,life sciences,very high,male,44,2,3,manufacturing director,3,single,9526.0,8787,0,no,21,4,2,0,10,2,3,9,7,1,8
36,no,travel_rarely,1299,research & development,27,bachelor,medical,high,male,94,3,2,healthcare representative,3,married,5237.0,16577,6,no,13,3,2,2,17,3,2,7,7,7,7
35,no,travel_rarely,809,research & development,16,bachelor,medical,low,male,84,4,1,laboratory technician,2,married,2426.0,16479,0,no,13,3,3,1,6,5,3,5,4,0,3
29,no,travel_rarely,153,research & development,15,college,life sciences,very high,female,49,2,2,laboratory technician,3,single,4193.0,12682,0,yes,12,3,4,0,10,3,3,9,5,0,8
31,no,travel_rarely,670,research & development,26,below college,life sciences,low,male,31,3,1,research scientist,3,divorced,2911.0,15170,1,no,17,3,4,1,5,1,2,5,2,4,3
34,no,travel_rarely,1346,research & development,19,college,medical,medium,male,93,3,1,laboratory technician,4,divorced,2661.0,8758,0,no,11,3,3,1,3,2,3,2,2,1,2
28,yes,travel_rarely,103,research & development,24,bachelor,life sciences,high,male,50,2,1,laboratory technician,3,single,2028.0,12947,5,yes,14,3,2,0,6,4,3,4,2,0,3
29,no,travel_rarely,1389,research & development,21,master,life sciences,medium,female,51,4,3,manufacturing director,1,divorced,9980.0,10195,1,no,11,3,3,1,10,1,3,10,9,7,8
32,no,travel_rarely,334,research & development,5,college,life sciences,low,male,80,4,1,research scientist,2,divorced,3298.0,15053,0,yes,12,3,4,2,7,5,2,6,2,0,5
22,no,non-travel,1123,research & development,16,college,medical,very high,male,96,4,1,laboratory technician,4,divorced,2935.0,7324,1,yes,13,3,2,2,1,2,2,1,0,0,0
53,no,travel_rarely,1219,sales,2,master,life sciences,low,female,78,2,4,manager,4,married,15427.0,22021,2,no,16,3,3,0,23,3,3,15,8,3,7
38,no,travel_rarely,371,research & development,2,bachelor,life sciences,very high,male,45,3,1,research scientist,4,single,3944.0,4306,5,yes,11,3,3,0,6,3,3,3,2,1,2
24,no,non-travel,673,research & development,11,college,other,low,female,96,4,2,manufacturing director,3,divorced,4011.0,8232,0,no,18,3,4,1,5,5,2,4,2,1,3
36,yes,travel_rarely,1218,sales,9,master,life sciences,high,male,82,2,1,sales representative,1,single,3407.0,6986,7,no,23,4,2,0,10,4,3,5,3,0,3
34,no,travel_rarely,419,research & development,7,master,life sciences,low,female,53,3,3,research director,2,single,11994.0,21293,0,no,11,3,3,0,13,4,3,12,6,2,11
21,no,travel_rarely,391,research & development,15,college,life sciences,high,male,96,3,1,research scientist,4,single,1232.0,19281,1,no,14,3,4,0,0,5,3,0,0,0,0
34,yes,travel_rarely,699,research & development,6,below college,medical,medium,male,83,3,1,research scientist,1,single,2960.0,17102,2,no,11,3,3,0,8,2,3,4,2,1,3
53,no,travel_rarely,1282,research & development,5,bachelor,other,high,female,58,3,5,manager,3,divorced,13775.600000000008,10735,4,no,11,3,4,1,26,3,2,14,13,4,8
32,yes,travel_frequently,1125,research & development,16,below college,life sciences,medium,female,72,1,1,research scientist,1,single,3919.0,4681,1,yes,22,4,2,0,10,5,3,10,2,6,7
42,no,travel_rarely,691,sales,8,master,marketing,high,male,48,3,2,sales executive,2,married,6825.0,21173,0,no,11,3,4,1,10,2,3,9,7,4,2
44,no,travel_rarely,477,research & development,7,master,medical,low,female,42,2,3,healthcare representative,4,married,10248.0,2094,3,no,14,3,4,1,24,4,3,15,6,5,9
46,no,travel_rarely,705,sales,2,master,marketing,medium,female,83,3,5,manager,1,single,13775.600000000008,22822,3,no,12,3,4,0,22,2,2,2,2,2,1
33,no,travel_rarely,924,research & development,2,bachelor,medical,high,male,78,3,1,laboratory technician,4,single,2496.0,6670,4,no,11,3,4,0,7,3,3,1,1,0,0
